rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,Done,16/8/2018,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.48803557,2.78E-05,-2.78E-05,170.53875,2.16E-03,-2.16E-03,2455003.539,2.16E-03,-2.16E-03,0,,,,,,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,6.16E+02,1.95E+01,-1.95E+01,0.022344,8.32E-04,-5.28E-04,3.20796,0.33173,-1.09986,LS+MCMC,2.26,2.60E-01,-1.50E-01,0.0853,,,89.66,,,793,,,93.59,29.45,-16.65,24.81,2.6,-2.6,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2291,0.4603,q1_q17_dr25_koi,5.135849,28.47082,35.8,2,142,1,q1_q17_dr25_tce,1.11111E+31,0.6864,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-001-20160209194854_dvs.pdf,5455,81,-81,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,,,,q1_q17_dr25_stellar,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.002,19.462294,0.000014,48.14191,0.00013,0.43,0.51,0.94,0.48,-2.00E-04,3.20E-04,-5.50E-04,3.10E-04,-0.01,0.13,0.2,0.16,0.2,0.17,0.08,0.13,0.31,0.17,0.32,0.16
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,Done,16/8/2018,CANDIDATE,0.969,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,54.4183827,2.48E-04,-2.48E-04,162.51384,3.52E-03,-3.52E-03,2454995.514,3.52E-03,-3.52E-03,0,,,,,,0.586,0.059,-0.443,4.507,0.116,-0.116,,,,8.75E+02,3.55E+01,-3.55E+01,0.027954,9.08E-03,-1.35E-03,3.02368,2.20489,-2.49638,LS+MCMC,2.83,3.20E-01,-1.90E-01,0.2734,,,89.57,,,443,,,9.11,2.87,-1.62,77.9,28.4,-28.4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2291,0.4603,q1_q17_dr25_koi,7.027669,20.109507,25.8,2,25,2,q1_q17_dr25_tce,1.11111E+31,0.0023,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-002-20160209194854_dvs.pdf,5455,81,-81,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,,,,q1_q17_dr25_stellar,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.003,19.462265,0.00002,48.14199,0.00019,-0.63,0.72,1.23,0.68,6.60E-04,6.50E-04,-1.05E-03,6.30E-04,0.39,0.36,0,0.48,0.39,0.36,0.49,0.34,0.12,0.73,0.5,0.45
3,10811496,K00753.01,,CANDIDATE,Done,16/8/2018,CANDIDATE,0,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,19.89913995,1.49E-05,-1.49E-05,175.850252,5.81E-04,-5.81E-04,2455008.85,5.81E-04,-5.81E-04,0,,,,,,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,,,,1.08E+04,1.71E+02,-1.71E+02,0.154046,5.03E+00,-4.22E-02,7.29555,35.03293,-2.75453,LS+MCMC,14.6,3.92E+00,-1.31E+00,0.1419,,,88.96,,,638,,,39.3,31.04,-10.49,53.5,25.7,-25.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2711,0.3858,q1_q17_dr25_koi,37.159767,187.4491,76.3,1,56,1,q1_q17_dr25_tce,1.11111E+31,0.6624,Mandel and Agol (2002 ApJ 580 171),,,010/010811/010811496/dv/kplr010811496-20160209194854_dvr.pdf,010/010811/010811496/dv/kplr010811496-001-20160209194854_dvs.pdf,5853,158,-176,4.544,0.044,-0.176,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,,,,q1_q17_dr25_stellar,297.00482,48.134129,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826,0.278,19.8003207,0.0000019,48.13412,0.00002,-0.021,0.069,-0.038,0.071,7.00E-04,2.40E-03,6.00E-04,3.40E-03,-0.025,0.07,-0.034,0.07,0.042,0.072,0.002,0.071,-0.027,0.074,0.027,0.074
4,10848459,K00754.01,,FALSE POSITIVE,Done,16/8/2018,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED,1.736952453,2.63E-07,-2.63E-07,170.307565,1.15E-04,-1.15E-04,2455003.308,1.15E-04,-1.15E-04,0,,,,,,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,,,,8.08E+03,1.28E+01,-1.28E+01,0.387394,1.09E-01,-8.50E-02,0.2208,0.00917,-0.01837,LS+MCMC,33.46,8.50E+00,-2.83E+00,0.0267,,,67.09,,,1395,,,891.96,668.95,-230.35,3.278,0.136,-0.136,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2865,0.3556,q1_q17_dr25_koi,39.06655,541.8951,505.6,1,621,1,q1_q17_dr25_tce,1.11111E+31,0,Mandel and Agol (2002 ApJ 580 171),,,010/010848/010848459/dv/kplr010848459-20160209194854_dvr.pdf,010/010848/010848459/dv/kplr010848459-001-20160209194854_dvs.pdf,5805,157,-174,4.564,0.053,-0.168,-0.52,0.3,-0.3,0.791,0.201,-0.067,0.836,0.093,-0.077,,,,q1_q17_dr25_stellar,285.53461,48.28521,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809,0,19.03563762,0.00000086,48.2852105,0.0000074,-0.111,0.031,0.002,0.027,3.02E-03,5.70E-04,-1.42E-03,8.10E-04,-0.249,0.072,0.147,0.078,0.289,0.079,-0.257,0.072,0.099,0.077,0.276,0.076
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,Done,16/8/2018,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.525591777,3.76E-06,-3.76E-06,171.59555,1.13E-03,-1.13E-03,2455004.596,1.13E-03,-1.13E-03,0,,,,,,0.701,0.235,-0.478,1.6545,0.042,-0.042,,,,6.03E+02,1.69E+01,-1.69E+01,0.024064,3.75E-03,-1.52E-03,1.98635,2.71141,-1.74541,LS+MCMC,2.75,8.80E-01,-3.50E-01,0.0374,,,85.41,,,1406,,,926.16,874.33,-314.24,8.75,4,-4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2844,0.3661,q1_q17_dr25_koi,4.749945,33.1919,40.9,1,515,1,q1_q17_dr25_tce,1.11111E+30,0.309,Mandel and Agol (2002 ApJ 580 171),,,010/010854/010854555/dv/kplr010854555-20160209194854_dvr.pdf,010/010854/010854555/dv/kplr010854555-001-20160209194854_dvs.pdf,6031,169,-211,4.438,0.07,-0.21,0.07,0.25,-0.3,1.046,0.334,-0.133,1.095,0.151,-0.136,,,,q1_q17_dr25_stellar,288.75488,48.2262,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.733,19.2503258,0.0000097,48.22626,0.0001,-0.01,0.35,0.23,0.37,8.00E-05,2.00E-04,-7.00E-05,2.20E-04,0.03,0.19,-0.09,0.18,0.1,0.14,0.07,0.18,0.02,0.16,0.07,0.2
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,Done,16/8/2018,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.09432054,2.04E-05,-2.04E-05,171.20116,1.41E-03,-1.41E-03,2455004.201,1.41E-03,-1.41E-03,0,,,,,,0.538,0.03,-0.428,4.5945,0.061,-0.061,,,,1.52E+03,2.42E+01,-2.42E+01,0.036779,5.12E-03,-1.07E-03,0.67324,0.33286,-0.38858,LS+MCMC,3.9,1.27E+00,-4.20E-01,0.0992,,,88.11,,,835,,,114.81,112.85,-36.7,16.36,8.1,-8.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2889,0.3511,q1_q17_dr25_koi,9.046456,55.204865,66.5,3,95,1,q1_q17_dr25_tce,1.1111E+30,0.0975,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-001-20160209194854_dvs.pdf,6046,189,-232,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,,,,q1_q17_dr25_stellar,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.7524061,0.0000061,48.22471,0.000065,-0.12,0.22,0.14,0.24,4.00E-05,3.40E-04,,,0.04,0.12,-0.07,0.11,0.08,0.13,-0.02,0.13,-0.08,0.1,0.08,0.1
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,Done,16/8/2018,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.13443512,1.05E-05,-1.05E-05,172.97937,1.90E-03,-1.90E-03,2455005.979,1.90E-03,-1.90E-03,0,,,,,,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,,,,6.86E+02,1.87E+01,-1.87E+01,0.026133,1.97E-03,-2.06E-03,0.37377,0.74768,-0.26357,LS+MCMC,2.77,9.00E-01,-3.00E-01,0.0514,,,83.72,,,1160,,,427.65,420.33,-136.7,6.96,2.8,-2.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2889,0.3511,q1_q17_dr25_koi,5.500643,33.546658,40.2,3,240,2,q1_q17_dr25_tce,1.1111E+30,0.546,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-002-20160209194854_dvs.pdf,6046,189,-232,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,,,,q1_q17_dr25_stellar,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752413,0.00001,48.22458,0.00011,0.14,0.36,-0.32,0.4,-1.60E-04,2.50E-04,,,0.25,0.14,0.09,0.16,0.26,0.16,0.18,0.15,0.06,0.15,0.19,0.17
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,Done,16/8/2018,CANDIDATE,0.992,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.56658897,1.78E-05,-1.78E-05,179.55437,4.61E-03,-4.61E-03,2455012.554,4.61E-03,-4.61E-03,0,,,,,,0.755,0.212,-0.523,2.429,0.165,-0.165,,,,2.27E+02,1.68E+01,-1.68E+01,0.014983,3.94E-03,-1.42E-03,0.48909,0.95593,-0.45121,LS+MCMC,1.59,5.20E-01,-1.70E-01,0.0374,,,82.17,,,1360,,,807.74,793.91,-258.2,5.54,2.7,-2.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2889,0.3511,q1_q17_dr25_koi,4.3886313,12.325094,15,3,355,3,q1_q17_dr25_tce,1.1111E+30,0.4352,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-003-20160209194854_dvs.pdf,6046,189,-232,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,,,,q1_q17_dr25_stellar,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752412,0.000028,48.22476,0.0003,0.1,1,0.3,1.1,-4.00E-05,2.10E-04,,,-0.33,0.33,-0.3,0.21,0.45,0.28,-0.41,0.33,-0.29,0.21,0.5,0.3
9,6721123,K00114.01,,FALSE POSITIVE,Done,16/8/2018,FALSE POSITIVE,0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET,7.36178958,2.13E-05,-2.13E-05,132.25053,2.53E-03,-2.53E-03,2454965.251,2.53E-03,-2.53E-03,0,,,,,,1.169,7.133,-0.044,5.022,0.136,-0.136,,,,2.34E+02,5.80E+00,-5.80E+00,0.183387,7.13E+00,-4.31E-02,0.00485,0.27864,-0.00053,LS+MCMC,39.21,6.45E+00,-9.67E+00,0.082,,,60.92,,,1342,,,767.22,349.28,-365.49,2.4,1.2,-1.2,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.305,0.3201,q1_q17_dr25_koi,10.964684,46.15308,47.7,1,185,1,q1_q17_dr25_tce,1.11111E+31,0.7213,Mandel and Agol (2002 ApJ 580 171),,,006/006721/006721123/dv/kplr006721123-20160209194854_dvr.pdf,006/006721/006721123/dv/kplr006721123-001-20160209194854_dvs.pdf,6227,111,-124,3.986,0.182,-0.098,0,0.15,-0.15,1.958,0.322,-0.483,1.358,0.121,-0.207,,,,q1_q17_dr25_stellar,298.86435,42.151569,12.66,12.999,12.609,12.515,12.48,11.659,11.415,11.396,0,19.9239534,0.0000064,42.158262,0.000062,-13.45,0.25,24.09,0.22,3.03E-03,6.20E-05,-5.55E-03,5.80E-05,-4.506,0.071,7.71,0.072,8.93,0.074,-4.537,0.071,7.713,0.074,8.948,0.077
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,Done,16/8/2018,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.06864674,1.09E-05,-1.09E-05,173.621937,5.17E-04,-5.17E-04,2455006.622,5.17E-04,-5.17E-04,0,,,,,,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,,,,4.91E+03,3.33E+01,-3.33E+01,0.062161,9.13E-04,-4.28E-04,3.6659,0.11507,-0.51226,LS+MCMC,5.76,2.20E-01,-4.90E-01,0.1158,,,89.92,,,600,,,30.75,4.46,-6.66,36.85,1.2,-1.2,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1451,0.582,q1_q17_dr25_koi,20.457163,137.44981,161.9,3,69,1,q1_q17_dr25_tce,1.11111E+31,0.1819,Mandel and Agol (2002 ApJ 580 171),,,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,010/010910/010910878/dv/kplr010910878-001-20160209194854_dvs.pdf,5031,75,-83,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,,,,q1_q17_dr25_stellar,286.99948,48.37579,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.063,19.1332989,0.0000025,48.375778,0.000024,0.033,0.091,-0.044,0.086,2.60E-04,6.30E-04,4.90E-04,7.80E-04,0.041,0.075,-0.015,0.073,0.044,0.075,0.005,0.075,0.03,0.082,0.031,0.081
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,Done,16/8/2018,CANDIDATE,0.811,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,2454955.763,8.70E-06,-8.70E-06,0,,,,,,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,,,,1.42E+04,4.20E+00,-4.20E+00,0.123871,5.10E-05,-7.10E-05,1.83538,0.00587,-0.00846,LS+MCMC,13.04,5.10E-01,-5.10E-01,0.0354,,,84.41,,,1339,,,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2676,0.3928,q1_q17_dr25_koi,544.1701,6468.04,4304.3,1,432,1,q1_q17_dr25_tce,1.11111E+31,0.1522,Mandel and Agol (2002 ApJ 580 171),,,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,011/011446/011446443/dv/kplr011446443-001-20160209194854_dvs.pdf,5820,78,-78,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,,,,q1_q17_dr25_stellar,286.80847,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,0,19.12056404,0.000000046,49.31642961,0.00000049,-0.0232,0.0016,0.1066,0.0018,-1.20E-04,1.20E-04,7.80E-04,1.90E-04,-0.009,0.068,-0.3,0.16,0.3,0.16,0.015,0.069,-0.27,0.17,0.27,0.17
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,Done,16/8/2018,CANDIDATE,1,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---PLANET_OCCULT_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE---CENT_SATURATED,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,2454954.359,1.60E-05,-1.60E-05,0,,,,,,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,,,,6.67E+03,1.70E+00,-1.70E+00,0.075522,2.98E-04,-3.50E-04,0.37936,0.02846,-0.02633,LS+MCMC,16.1,8.10E-01,-9.10E-01,0.0376,,,87.21,,,2048,,,4148.92,651.59,-654.46,4.602,0.345,-0.345,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3168,0.2958,q1_q17_dr25_koi,232.27,3862.1846,5945.9,1,611,1,q1_q17_dr25_tce,1.11111E+31,0,Mandel and Agol (2002 ApJ 580 171),,,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,010/010666/010666592/dv/kplr010666592-001-20160209194854_dvs.pdf,6440,76,-89,4.019,0.033,-0.027,0.14,0.15,-0.15,1.952,0.099,-0.11,1.449,0.07,-0.091,,,,q1_q17_dr25_stellar,292.24728,47.969521,10.463,10.935,10.49,,,9.555,9.344,9.334,,19.48316303,0.000000059,47.96930831,0.00000063,0.3986,0.0021,-0.7585,0.0023,-1.75E-03,3.80E-05,,,2.22,0.57,-3.29,0.5,3.97,0.7,2.02,0.69,-3.67,0.51,4.19,0.75
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,Done,16/8/2018,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,2454954.119,4.71E-05,-4.71E-05,0,,,,,,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,,,,9.15E+03,6.60E+00,-6.60E+00,0.092086,1.41E-04,-1.77E-04,0.65374,0.01481,-0.01458,LS+MCMC,14.59,1.11E+00,-1.11E+00,0.0473,,,85.2,,,1521,,,1264.67,307.23,-276.48,7.541,0.171,-0.171,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.305,0.3201,q1_q17_dr25_koi,130.83832,1725.5824,1741.5,1,384,1,q1_q17_dr25_tce,1.11111E+31,0.6662,Mandel and Agol (2002 ApJ 580 171),,,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,006/006922/006922244/dv/kplr006922244-001-20160209194854_dvs.pdf,6225,112,-137,4.169,0.055,-0.045,-0.04,0.15,-0.15,1.451,0.11,-0.11,1.132,0.108,-0.078,,,,q1_q17_dr25_stellar,281.28812,42.45108,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293,0,18.75252746,0.00000022,42.4510634,0.0000021,-0.5515,0.0087,-0.0597,0.0075,1.00E-05,1.70E-04,3.60E-04,2.10E-04,0.014,0.067,-0.013,0.067,0.02,0.067,-0.028,0.067,0.176,0.068,0.178,0.068
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,Done,16/8/2018,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.709214104,6.54E-06,-6.54E-06,133.98318,1.43E-03,-1.43E-03,2454966.983,1.43E-03,-1.43E-03,0,,,,,,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,,,,1.31E+02,3.00E+00,-3.00E+00,0.010424,3.18E-04,-1.47E-04,1.77451,0.06493,-0.57483,LS+MCMC,1.16,1.70E-01,-1.20E-01,0.0465,,,89.73,,,1206,,,500.46,197.96,-130.54,10.888,0.398,-0.398,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2622,0.4035,q1_q17_dr25_koi,4.8657312,41.28873,50.6,2,352,2,q1_q17_dr25_tce,1.11111E+31,0.605,Mandel and Agol (2002 ApJ 580 171),,,010/010984/010984090/dv/kplr010984090-20160209194854_dvr.pdf,010/010984/010984090/dv/kplr010984090-002-20160209194854_dvs.pdf,5833,105,-117,4.407,0.085,-0.114,-0.04,0.15,-0.15,1.022,0.143,-0.107,0.974,0.066,-0.066,,,,q1_q17_dr25_stellar,295.64871,48.49556,12.772,13.169,12.74,12.602,12.564,11.698,11.402,11.367,0.009,19.709924,0.0000076,48.495685,0.000079,0.36,0.27,0.45,0.28,-4.60E-05,3.40E-05,-5.00E-05,3.60E-05,0.24,0.16,-0.15,0.28,0.29,0.2,0.16,0.16,-0.13,0.27,0.21,0.21
15,10419211,K00742.01,,FALSE POSITIVE,Done,16/8/2018,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,11.52144606,1.98E-06,-1.98E-06,170.839688,1.31E-04,-1.31E-04,2455003.84,1.31E-04,-1.31E-04,0,,,,,,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,,,,1.80E+04,3.19E+01,-3.19E+01,1.625358,2.85E+00,-6.63E-01,1.27376,2.30242,-0.41065,LS+MCMC,150.51,3.98E+01,-1.33E+01,0.0978,,,83.13,,,753,,,75.88,58.89,-19.99,20.75,9.4,-9.4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2711,0.3858,q1_q17_dr25_koi,92.901566,628.3708,622.1,1,96,1,q1_q17_dr25_tce,1.11111E+31,0.154,Mandel and Agol (2002 ApJ 580 171),,,010/010419/010419211/dv/kplr010419211-20160209194854_dvr.pdf,010/010419/010419211/dv/kplr010419211-001-20160209194854_dvs.pdf,5795,155,-172,4.554,0.033,-0.176,-0.2,0.25,-0.3,0.848,0.224,-0.075,0.938,0.098,-0.109,,,,q1_q17_dr25_stellar,297.07993,47.597401,15.472,15.994,15.419,15.249,15.153,14.248,13.831,13.827,0.895,19.80533055,0.00000065,47.5973894,0.0000064,0.068,0.024,-0.038,0.023,0.00E+00,1.50E-03,1.00E-04,2.20E-03,0.009,0.067,-0.009,0.067,0.013,0.067,0.147,0.067,0.037,0.07,0.151,0.067
16,10464078,K00743.01,,FALSE POSITIVE,Done,16/8/2018,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---HAS_SEC_TCE,19.40393776,2.07E-05,-2.07E-05,172.484253,8.42E-04,-8.42E-04,2455005.484,8.42E-04,-8.42E-04,0,,,,,,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,,,,8.92E+03,5.33E+01,-5.33E+01,0.096729,5.33E-04,-5.32E-04,0.03785,0.00107,-0.00172,LS+MCMC,7.18,7.60E-01,-6.80E-01,0.123,,,84.93,,,523,,,17.69,6.66,-4.88,9.099,0.257,-0.257,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1908,0.5172,q1_q17_dr25_koi,49.468765,320.90817,214.7,1,71,1,q1_q17_dr25_tce,1.11111E+31,0.806,Mandel and Agol (2002 ApJ 580 171),,,010/010464/010464078/dv/kplr010464078-20160209194854_dvr.pdf,010/010464/010464078/dv/kplr010464078-001-20160209194854_dvs.pdf,5043,151,-151,4.591,0.072,-0.048,-0.54,0.35,-0.3,0.68,0.072,-0.065,0.657,0.085,-0.036,,,,q1_q17_dr25_stellar,289.25821,47.635319,15.487,16.229,15.44,15.169,14.985,13.95,13.429,13.287,0.048,19.28388234,0.00000064,47.6353187,0.0000058,0.038,0.023,-0.005,0.021,-3.80E-04,8.70E-04,-2.00E-04,1.30E-03,-0.001,0.067,0.009,0.068,0.009,0.068,-0.147,0.068,-0.038,0.069,0.152,0.068
17,10480982,K00744.01,,FALSE POSITIVE,Done,16/8/2018,FALSE POSITIVE,0,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,19.22138894,1.12E-06,-1.12E-06,184.5521637,4.50E-05,-4.50E-05,2455017.552,4.50E-05,-4.50E-05,0,,,,,,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,,,,7.43E+04,2.19E+01,-2.19E+01,0.476633,2.45E-02,-2.77E-02,1.57359,0.00657,-0.02917,LS+MCMC,49.29,1.60E+01,-5.00E+00,0.1417,,,88.05,,,698,,,55.97,54.55,-16.4,31.323,0.131,-0.131,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2916,0.3447,q1_q17_dr25_koi,387.658,2174.4263,2317,2,55,1,q1_q17_dr25_tce,1.11111E+31,0.0003,Mandel and Agol (2002 ApJ 580 171),,,010/010480/010480982/dv/kplr010480982-20160209194854_dvr.pdf,010/010480/010480982/dv/kplr010480982-001-20160209194854_dvs.pdf,6117,182,-200,4.496,0.052,-0.208,-0.22,0.25,-0.35,0.947,0.308,-0.096,1.025,0.139,-0.139,,,,q1_q17_dr25_stellar,295.81454,47.69035,15.341,15.798,15.293,15.145,15.053,14.2,13.863,13.727,0,19.7209653,0.00000015,47.6902759,0.0000016,-0.1235,0.0055,-0.2667,0.0056,-5.00E-04,9.00E-03,-2.00E-03,1.30E-02,0.003,0.067,0.005,0.067,0.006,0.067,-0.018,0.068,-0.203,0.067,0.203,0.067
